date,ret,n,universe,turnover,regime,rebal,gross,top5
2024-09-30,-0.00801989560126852,15,23,1.067,ON,True,-0.0048198956012685205,"GAS, POW, MWG, DGC, HPG"
2024-10-31,-0.0308984062915315,15,0,0.0,ON,False,-0.0308984062915315,"GAS, POW, MWG, DGC, HPG"
2024-11-30,0.0,0,0,0.0,OFF,False,,
2024-12-31,-0.005484382372052848,15,32,1.0,ON,True,-0.0024843823720528476,"POW, GVR, MSN, VNM, DBC"
2025-01-31,-0.031002135343459688,15,0,0.0,ON,False,-0.031002135343459688,"POW, GVR, MSN, VNM, DBC"
2025-02-28,0.05027863308060181,15,0,0.0,ON,False,0.05027863308060181,"POW, GVR, MSN, VNM, DBC"
2025-03-31,-0.07082018597573375,15,34,0.4,ON,True,-0.06962018597573374,"GVR, BCG, POW, GAS, VNM"
2025-04-30,0.0,0,0,0.0,OFF,False,,
2025-05-31,0.10959779005063143,15,27,1.0,ON,True,0.11259779005063143,"VHC, HAH, PVS, MSN, FPT"
2025-06-30,0.049456528931482904,15,31,0.933,ON,True,0.0522565289314829,"HAH, GAS, DGC, GEE, GVR"
2025-07-31,0.03893040125291,15,0,0.0,ON,False,0.03893040125291,"HAH, GAS, DGC, GEE, GVR"
2025-08-31,0.010848199854463433,15,0,0.0,ON,False,0.010848199854463433,"HAH, GAS, DGC, GEE, GVR"
2025-09-30,-0.017946487877024637,15,36,1.2,ON,True,-0.014346487877024638,"HHS, GVR, DCM, PAN, ANV"
2025-10-31,0.02903710168310769,15,0,0.0,ON,False,0.02903710168310769,"HHS, GVR, DCM, PAN, ANV"
2025-11-30,-0.028357521722466868,15,0,0.0,ON,False,-0.028357521722466868,"HHS, GVR, DCM, PAN, ANV"
2025-12-31,0.014355936545640626,15,25,1.333,ON,True,0.018355936545640626,"PLX, GVR, POW, BSR, HPG"
2026-01-31,0.15813878392548594,15,0,0.0,ON,False,0.15813878392548594,"PLX, GVR, POW, BSR, HPG"
2026-02-28,0.05200220114620408,15,0,0.0,ON,False,0.05200220114620408,"PLX, GVR, POW, BSR, HPG"
2026-03-31,-0.1344005529226532,15,34,0.667,ON,True,-0.1324005529226532,"GEE, GVR, PLX, HPG, POW"
2026-04-30,-0.07469133110362787,15,23,0.933,ON,True,-0.07189133110362787,"BSR, PNJ, VNM, PC1, PLX"
2026-05-31,-0.018049172539222207,15,0,0.0,ON,False,-0.018049172539222207,"BSR, PNJ, VNM, PC1, PLX"
