date,time,symbol,price,volume,value,cum_volume,cum_value,floor
2026-03-12,13:16:42,MWG,85.0,169000,14365000.0,218000,18309500.0,HOSE
2026-03-12,13:17:50,VNM,58.6,111000,6504600.0,111000,6504600.0,HOSE
2026-03-12,13:18:56,NLG,25.85,2,51.7,40,1034.0,HOSE
2026-03-12,13:19:41,TCB,30.3,2,60.6,5040545,166717863.50000003,HOSE
2026-03-12,13:20:08,NLG,25.85,2,51.7,42,1085.7,HOSE
2026-03-12,13:20:57,DCM,48.7,1,48.7,37,1801.9,HOSE
2026-03-12,13:21:02,TCB,30.5,72000,2196000.0,5112545,168913863.50000003,HOSE
2026-03-12,13:21:25,DCM,48.7,2,97.4,39,1899.3000000000002,HOSE
2026-03-12,13:21:43,HDB,26.5,1650000,43725000.0,1820000,47890000.0,HOSE
2026-03-12,13:21:54,VCI,35.7,2,71.4,39,1392.3000000000002,HOSE
2026-03-12,13:22:22,TCB,30.3,1,30.3,5112546,168913893.8,HOSE
2026-03-12,13:22:51,TCB,30.3,1,30.3,5112547,168913924.10000002,HOSE
2026-03-12,13:23:18,VCI,35.7,2,71.4,41,1463.7,HOSE
2026-03-12,13:23:50,NLG,25.85,1,25.85,43,1111.5500000000002,HOSE
2026-03-12,13:23:52,NT2,24.55,55000,1350250.0,55000,1350250.0,HOSE
2026-03-12,13:23:52,LSS,7.96,1,7.96,7,55.72,HOSE
2026-03-12,13:25:02,NLG,25.85,1,25.85,44,1137.4,HOSE
2026-03-12,13:25:30,NLG,25.85,2,51.7,46,1189.1000000000001,HOSE
2026-03-12,13:25:54,NLG,25.85,2,51.7,48,1240.8000000000002,HOSE
2026-03-12,13:25:58,TLG,47.1,27000,1271700.0,27000,1271700.0,HOSE
2026-03-12,13:26:22,HPG,27.1,2,54.2,39,1056.9,HOSE
2026-03-12,13:26:58,NLG,25.85,2,51.7,50,1292.5,HOSE
2026-03-12,13:27:26,HPG,27.1,2,54.2,41,1111.1000000000001,HOSE
2026-03-12,13:29:15,HDB,25.75,1550000,39912500.0,3370000,87802500.0,HOSE
2026-03-12,13:29:52,VCI,35.7,2,71.4,43,1535.1000000000001,HOSE
2026-03-12,13:30:18,HPG,27.1,1,27.1,42,1138.2,HOSE
2026-03-12,13:30:42,HDB,25.75,1780000,45835000.0,5150000,133637500.0,HOSE
2026-03-12,13:30:42,DCM,48.7,1,48.7,40,1948.0000000000002,HOSE
2026-03-12,13:31:02,HT1,16.0,1,16.0,1,16.0,HOSE
2026-03-12,13:31:05,VCI,35.7,2,71.4,45,1606.5000000000002,HOSE
2026-03-12,13:31:26,HDB,25.75,770000,19827500.0,5920000,153465000.0,HOSE
2026-03-12,13:32:15,PPC,9.3,1,9.3,12,111.60000000000001,HOSE
2026-03-12,13:32:17,HDB,25.75,800000,20600000.0,6720000,174065000.0,HOSE
2026-03-12,13:34:01,APG,7.65,49500,378675.0,49500,378675.0,HOSE
2026-03-12,13:37:24,MBB,27.336,450000,12301200.0,2305801,62726389.75,HOSE
2026-03-12,13:38:22,POW,13.2,800000,10560000.0,800000,10560000.0,HOSE
2026-03-12,13:39:23,POW,13.2,385000,5082000.0,1185000,15642000.0,HOSE
2026-03-12,13:40:07,SCR,5.35,1,5.35,30,160.5,HOSE
2026-03-12,13:40:37,AAA,6.64,1,6.64,20,132.79999999999998,HOSE
2026-03-12,13:45:20,PPC,9.3,1,9.3,13,120.9,HOSE
2026-03-12,13:46:45,MBB,27.336,234000,6396624.0,2539801,69123013.75,HOSE
2026-03-12,13:49:45,TCB,32.635,30000,979049.9999999999,5142547,169892974.10000002,HOSE
2026-03-12,13:51:23,VNM,66.8,99000,6613200.0,210000,13117800.0,HOSE
2026-03-12,13:52:44,KOS,34.0,107000,3638000.0,107000,3638000.0,HOSE
2026-03-12,13:53:23,VCB,60.0,35000,2100000.0,67000,4052000.0,HOSE
2026-03-12,13:55:40,VIX,18.25,2083000,38014750.0,6484200,114987450.0,HOSE
2026-03-12,13:57:19,PPC,9.3,1,9.3,14,130.20000000000002,HOSE
2026-03-12,13:59:00,MBB,27.336,2000000,54672000.0,4539801,123795013.75,HOSE
2026-03-12,14:00:07,DGW,44.5,45000,2002500.0,45000,2002500.0,HOSE
2026-03-12,14:00:09,DHC,35.0,101900,3566500.0,101900,3566500.0,HOSE
2026-03-12,14:01:29,SCR,5.35,1,5.35,31,165.85,HOSE
2026-03-12,14:02:59,HDB,25.75,2532000,65199000.0,9252000,239264000.0,HOSE
2026-03-12,14:03:32,SHB,15.0,4652000,69780000.0,4652000,69780000.0,HOSE
2026-03-12,14:04:48,MWG,84.0,20000,1680000.0,238000,19989500.0,HOSE
2026-03-12,14:06:22,NLG,25.0,225100,5627500.0,225150,5628792.5,HOSE
2026-03-12,14:06:54,VHM,100.0,380000,38000000.0,380000,38000000.0,HOSE
2026-03-12,14:07:14,AAA,6.64,1,6.64,21,139.44,HOSE
2026-03-12,14:07:47,HPG,25.51,50000,1275500.0,50042,1276638.2,HOSE
2026-03-12,14:09:18,HSL,6.0,61500,369000.0,61500,369000.0,HOSE
2026-03-12,14:11:55,AAA,6.64,1,6.64,22,146.07999999999998,HOSE
2026-03-12,14:13:07,POW,13.2,800000,10560000.0,1985000,26202000.0,HOSE
2026-03-12,14:13:32,GEX,32.9,20000,658000.0,20000,658000.0,HOSE
2026-03-12,14:14:03,AGG,12.9,799000,10307100.0,1084000,13983600.0,HOSE
2026-03-12,14:14:28,PPC,9.3,1,9.3,15,139.5,HOSE
2026-03-12,14:14:49,OCB,10.15,10000000,101500000.0,10000000,101500000.0,HOSE
2026-03-12,14:14:58,PPC,9.3,1,9.3,16,148.8,HOSE
2026-03-12,14:18:12,OCB,10.15,10000000,101500000.0,20000000,203000000.0,HOSE
2026-03-12,14:18:19,PPC,9.3,1,9.3,17,158.10000000000002,HOSE
2026-03-12,14:18:33,PPC,9.3,1,9.3,18,167.4,HOSE
2026-03-12,14:20:17,SHI,13.1,240000,3144000.0,240000,3144000.0,HOSE
2026-03-12,14:22:05,HPG,25.51,20000,510200.00000000006,70042,1786838.2,HOSE
2026-03-12,14:23:43,TPB,17.4,400000,6959999.999999999,400000,6959999.999999999,HOSE
2026-03-12,14:24:05,AGG,12.9,900000,11610000.0,1984000,25593600.0,HOSE
2026-03-12,14:28:00,AAA,6.64,1,6.64,23,152.72,HOSE
2026-03-12,14:29:06,PPC,9.3,1,9.3,19,176.70000000000002,HOSE
2026-03-12,14:29:54,TAL,39.5,500000,19750000.0,500000,19750000.0,HOSE
2026-03-12,14:31:01,AGG,12.9,800000,10320000.0,2784000,35913600.0,HOSE
2026-03-12,14:31:19,SHI,13.1,236700,3100770.0,476700,6244770.0,HOSE
2026-03-12,14:33:02,MBB,27.336,2316000,63310176.0,6855801,187105189.75,HOSE
2026-03-12,14:33:13,FUEVFVND,34.967,100000,3496700.0,100000,3496700.0,HOSE
2026-03-12,14:34:30,APG,7.65,40500,309825.0,90000,688500.0,HOSE
2026-03-12,14:35:08,AGG,12.9,600000,7740000.0,3384000,43653600.0,HOSE
2026-03-12,14:35:30,VIB,17.0,250000,4250000.0,1916001,34571215.9,HOSE
2026-03-12,14:36:16,TAL,39.5,500000,19750000.0,1000000,39500000.0,HOSE
2026-03-12,14:36:30,VIB,17.0,275000,4675000.0,2191001,39246215.9,HOSE
2026-03-12,14:36:42,TCB,33.25,500000,16625000.0,5642547,186517974.10000002,HOSE
2026-03-12,14:39:04,AGG,12.9,700000,9030000.0,4084000,52683600.0,HOSE
2026-03-12,14:40:30,VIB,17.0,330000,5610000.0,2521001,44856215.9,HOSE
2026-03-12,14:41:47,AGG,12.9,400000,5160000.0,4484000,57843600.0,HOSE
2026-03-12,14:44:22,SCR,6.0,568958,3413748.0,568989,3413913.85,HOSE
2026-03-12,14:46:37,AGG,12.9,350000,4515000.0,4834000,62358600.0,HOSE
2026-03-12,14:47:24,VNE,4.53,200000,906000.0,200000,906000.0,HOSE
